Soil_Type,Fertility,Photoperiod,N-P-K Ratio,Temperature,Rainfall,pH,Light_Hours,Light_Intensity,Rh,Nitrogen,Phosphorus,Potassium,Yield,Category_pH,Season,Name
Sandy Loam,High,Short Day Period,10:10:10,24.80498026,496.8195286,6.197149254,6.692705511,571.2989663,55.47589043,129.0194517,150.1282435,327.003766,60.45807942,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.38518773,443.9083665,6.240075271,7.229693867,563.2116007,55.98382593,137.0210206,161.6937167,317.7725316,60.91776509,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.40734377,548.4567114,6.101201153,7.060767957,474.4423038,51.86555304,127.4642156,154.2122559,305.0682701,61.69957144,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.75442439,477.6276616,6.290211258,7.127997101,516.0938832,56.2069842,148.6290356,170.0674855,302.7059933,59.41522715,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,21.91235897,506.0601341,6.393707409,7.114328616,513.8852743,55.83608477,130.9126367,158.1408434,313.886446,62.78325278,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,21.71795555,489.5844657,6.182269268,7.069095295,696.2508833,54.44974166,148.6018657,161.5789803,295.941781,60.25555668,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.57517571,478.5845553,6.080219226,7.03491548,789.6126354,52.57349907,127.713902,148.0585896,286.1826943,63.10843455,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.1585857,475.1527145,6.340953869,6.858392172,533.9751561,55.36061704,139.1870219,159.0981161,320.4337197,63.06510184,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.20083399,503.4433102,5.739952452,7.82660748,451.6329521,54.80692142,144.1999971,167.3596888,310.5440506,60.34257623,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,25.47143421,468.2920281,6.29015489,6.857845125,492.8765627,54.5304524,145.7380731,168.5036906,341.4757165,62.40566328,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.11977009,489.8439413,6.36397052,6.946035447,608.5622859,53.38672715,129.1858848,165.4285037,324.3227702,62.11884577,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.83108989,504.0462051,6.111158898,7.369325544,706.1181274,56.14149485,132.7327884,151.3468507,307.1671975,61.44782413,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.4243,529.3731498,6.129217272,7.014187283,507.6282951,57.49137988,146.4427553,154.5633293,319.9093609,59.5109614,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.61066735,542.0000121,6.468950375,7.142510156,521.9275384,54.02049084,138.1790563,156.0483798,291.6686753,61.86964979,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.10495324,486.4458746,6.127064689,6.871645308,577.5478688,53.21390713,135.5303421,163.5100977,297.4984865,63.20343595,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,25.30133261,490.7209165,6.077357523,7.158611607,514.5507437,53.88252831,145.9398632,165.3809872,315.3260063,63.96922612,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.28747383,484.9174199,6.267793048,7.122253847,593.2353569,57.97370422,142.2852528,165.4399493,300.2884478,62.93418495,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.03368827,468.005263,6.263216336,7.228914364,422.6140391,57.1573157,150.5324223,159.5514891,296.8990669,60.18870436,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.65331604,544.1691159,6.237047466,6.633050243,493.0881937,54.4616875,143.2126575,161.6373364,328.4044352,61.01406354,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.65109279,483.4592979,6.288745811,6.752194625,533.1662773,54.05566979,138.4065437,154.867642,302.6285798,61.05964812,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.21639188,524.4068731,6.273933051,7.059298521,544.3916667,54.44809175,141.2568683,165.9867835,284.5157733,62.20631967,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.18639956,482.3108634,5.82560907,6.898373612,586.9635679,51.63887989,149.6480959,153.3594996,314.5176245,61.64456182,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.56900204,474.307714,5.957679929,6.923667604,565.2657837,53.03893225,122.9905133,141.1246743,284.9027623,62.48277199,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.47576185,508.5739146,6.800763906,7.308352398,635.5303633,55.64441508,138.8338382,167.3469939,324.7098593,61.25874341,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.52031186,461.1345069,6.405295822,6.691163107,621.8724456,55.29602742,126.6716687,160.7722136,312.5976961,62.2169642,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.93390755,447.6919396,5.898425602,7.02017079,471.3394014,54.18869988,151.1237434,164.1092293,286.5391734,62.83334336,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.44261523,496.5654245,6.245516214,7.071927512,548.2031224,53.34745924,143.7732394,165.4366368,311.5204373,59.80789022,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.59016331,507.5812413,6.26246879,7.393973738,519.7437677,52.98584664,141.4858678,157.213494,278.7428818,61.03255514,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.02555331,507.6550088,5.793702155,7.333833071,569.2314527,57.75051516,138.7979011,160.9721072,306.4790223,61.46634072,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.08714782,489.4822848,6.165558831,7.087529587,532.0719781,53.85444838,137.1766346,164.4821646,313.9008221,62.90558832,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,25.59208388,498.6438582,6.087718079,7.128529903,560.1006285,51.65992312,157.5727783,147.8735491,314.6679698,61.98636727,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.91563242,538.9725769,6.029847187,6.421997308,454.1007266,56.15282833,136.0925106,156.2424513,316.6799484,62.32856455,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.03187315,417.5743856,5.858155532,6.95625025,562.9426228,54.75685424,136.5286732,164.8532922,312.084798,61.80723598,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,21.90946783,525.6984882,6.389201834,7.22511834,532.3877902,55.18222956,143.7440668,150.7733475,314.279307,61.3470369,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.94961577,498.7568537,6.242629041,6.991703825,631.1948935,52.75391033,134.957453,165.9298785,306.4330669,61.0813841,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.54396847,476.1631608,6.102111295,6.69439205,633.8580851,54.43455413,148.9568238,157.3099202,325.1308688,60.62040862,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,21.87711291,521.9472644,6.021672903,6.916028172,598.7843158,55.17253595,138.4491946,158.1463563,327.1991512,60.04529565,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.07163136,510.003692,6.255145131,7.478257588,422.0055764,55.47155265,132.2415863,167.3119066,299.8143537,61.42684715,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.2477639,415.0299756,6.705975228,7.292143644,528.4584298,55.82055115,149.0941585,158.2149202,301.1685386,61.53326055,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.6378007,513.9854264,6.230756505,7.069587286,582.0860665,52.81284657,136.821355,169.9761382,301.949925,61.88418972,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.02356153,547.4524572,6.195750403,7.525447861,601.8208135,56.69090589,130.2521589,163.6384452,324.4318724,61.97768788,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,26.74508213,501.8127644,6.110892401,6.626409417,676.9641616,53.31317938,134.1159137,165.4308779,293.4379097,62.20130878,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.04175699,477.2415882,5.992413006,7.421340136,507.9697741,56.41600318,143.0817714,166.6293333,292.4455121,61.49898503,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.43035759,488.7111587,5.943353412,6.871631861,483.8905125,56.401016,147.6635194,149.2518845,307.9457523,60.20839578,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.32985407,486.7232534,6.183272727,6.726665158,536.1230125,51.59809734,149.4173879,161.0948826,311.292996,62.18621194,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.64065423,506.2378259,6.249773563,6.865430865,583.1464536,56.66656872,143.9016457,152.2057827,308.8950521,61.67960238,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.00226952,570.6563089,6.078668836,6.800836789,700.6311228,51.87870424,133.9248377,159.0802951,303.9411898,61.44290101,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.8622981,502.6560979,6.190759427,6.926737964,428.7607162,55.92458918,147.4703139,163.180084,280.8273154,60.83096345,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.11546588,504.9320696,6.079500151,6.719508875,499.7275881,55.64927649,141.5688118,162.068796,304.936703,62.60815865,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,25.4566514,515.5879136,5.87858531,6.620873384,661.7510378,55.99976593,143.1524771,162.7483653,328.0304361,62.20782672,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.42773426,521.5787719,6.269189223,7.123736515,650.3573877,52.58063149,131.8158021,165.1655908,282.1035359,63.31466831,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,25.13587759,443.5115102,6.036551547,6.385247892,520.3296515,56.01954171,131.3894868,154.7198944,296.8484394,62.62516502,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.21440231,543.9789284,6.118668255,7.256449906,481.005971,54.64566829,142.0201407,151.5539609,286.7662578,59.72445152,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.35939692,491.1615939,6.124418664,7.17518444,613.7551353,52.83372642,151.6225628,169.5368294,309.0708229,63.51404065,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.49978254,486.4140431,6.417113664,6.914581364,662.1981811,53.19722647,127.780672,154.9908655,329.1980074,63.87039919,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,20.78135521,458.146783,6.288921916,6.794479572,412.9282957,54.75958524,149.4597183,153.9773627,324.0017356,61.28349401,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,21.50672865,549.2377499,6.408451229,7.008316918,623.841354,56.57707747,147.9717306,164.6953063,305.5462508,62.45744487,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.75019839,447.3236432,6.3509505,7.634063404,524.6609939,55.45166882,140.4268608,150.7449442,292.1525057,60.75320237,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.2458434,473.8618792,6.134482615,7.051488121,532.8087704,54.40664081,140.7389267,163.6654667,324.9369995,61.26053965,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.48894833,542.2938312,6.507659785,6.82658463,514.0685594,53.44710013,137.2091787,152.8663306,318.0491616,62.99602402,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.29009166,522.996495,5.907709909,7.193846066,580.3098746,56.84766786,142.3171803,168.4609129,303.7322645,60.67303885,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.71285122,522.9188437,5.821832383,6.766789143,568.0265289,56.72409314,128.7633708,164.6333557,330.69878,63.49378053,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.31814427,489.8585867,6.228044718,6.786230997,413.3855402,54.29711465,140.0659986,168.7246843,318.8628467,62.61933004,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.67014472,518.4030316,6.030695412,6.889493935,459.4736412,57.10507138,134.7526931,165.3005487,307.2806237,58.89644524,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.08295306,489.2624171,6.288562486,7.422094141,561.4110424,54.48369034,149.2224262,173.0659221,309.4996674,62.70809559,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,21.04719888,463.8393998,6.399556492,7.37960801,615.5711762,53.00590455,141.4740936,157.9913678,305.0773557,63.43070279,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.70714328,472.6098741,6.056257777,7.886936817,595.9063197,55.6432259,145.4260023,155.8342427,295.2383762,60.68880903,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.94295413,534.5946258,5.866580505,7.265245705,531.0930139,53.77315943,126.8763989,155.1417973,323.3250295,62.3238683,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.18530115,486.2389575,6.090358897,7.38589753,505.0190649,53.07682311,132.3196744,149.3437472,328.1454459,63.79015015,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.63821243,470.7766692,6.066375892,6.871575202,457.6161824,55.66958247,149.4527367,170.1174077,322.0924298,63.62002232,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.12734894,540.6990562,6.392729505,7.499575504,521.6216571,57.76911441,133.0788295,162.9409663,302.5870072,60.43930132,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.75727131,497.9398122,6.152918679,7.224474268,519.2306976,56.12575775,128.5409013,159.012976,305.091166,60.56960176,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.04406223,508.5832326,6.263736803,6.883852436,478.0441583,53.49466015,131.9776892,154.1839381,306.1567638,63.58508934,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,25.01306854,526.2315965,6.30850296,7.136361245,499.9306961,55.689082,147.647499,151.7007073,325.4580123,61.74497152,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,25.42571184,494.4936292,6.174053662,7.349148673,545.0496649,54.55204766,121.3182598,157.5855152,308.7988805,59.84638187,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.14644051,511.5414762,6.100488925,6.726140729,640.8203795,55.39680027,141.2572471,154.7039769,315.2147014,63.40000697,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.83678071,518.2415977,6.478977885,6.871740503,537.5848821,55.66724407,138.8726789,161.385547,310.4737076,60.07741322,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.70684073,519.8073403,6.327894779,6.714651941,439.3451529,57.05941036,144.6865244,152.059822,311.9586445,61.26035226,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.83969615,494.7370788,5.893599301,6.165899422,671.9895159,54.44744549,141.3294163,163.3871383,325.5805196,61.30261616,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.55136752,518.081589,5.900826692,6.531010199,597.7972464,55.85773908,150.0445009,158.767136,314.7492247,61.6981088,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.48233261,494.6793004,5.957613931,6.528410892,603.9387745,56.53201021,136.1891411,163.9535467,333.2808567,62.26942063,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.81340047,458.7874917,6.284340072,6.852696276,544.0386438,52.24841354,140.6354867,164.2730306,298.9117335,60.49487626,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.90156474,501.1792225,6.37649358,6.679883658,662.5397434,56.11571699,124.8686446,161.3521207,337.2663145,61.85414817,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.7419218,509.8261142,5.734430746,6.628250016,503.9651693,54.00533252,139.4404021,147.0239854,315.1250637,63.70364358,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.32155485,575.4823929,6.27792324,7.084346606,578.7689307,53.70371285,131.9149123,165.3260576,317.9475409,60.52226275,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,19.82546073,501.2954511,6.218263212,7.102911754,529.5994219,55.39010035,144.8655992,152.5419119,314.8385619,62.68880782,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.02349269,482.3039107,6.401264558,6.150136106,419.6965135,57.62942612,130.7197762,151.1093823,281.1091736,59.80111958,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.61122132,480.5506454,5.976286933,6.924554753,634.33847,52.98233152,139.9827562,156.7218573,304.4583613,60.45484887,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.51358415,479.348915,6.088895866,6.995100414,567.846987,55.42318097,139.8499972,164.8748031,326.2315552,61.84718192,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,21.57072364,555.1078828,6.288547882,6.900544532,438.875779,54.31190096,153.7049057,168.3575541,314.238493,61.41034624,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,25.79519014,540.4138292,6.019506253,7.701445969,456.8330513,51.9081261,138.7063051,154.7171818,315.1229331,61.65684485,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.18949679,512.9885092,5.98499012,6.757011146,549.170164,55.24714455,145.7749555,155.5502194,300.1336773,60.709373,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.87963323,508.8100525,5.853537438,7.599372174,495.2308354,55.57967956,135.741343,149.4255033,313.6217029,60.43935986,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.75731621,520.2406359,6.317263349,7.238389542,504.1705517,55.00825734,139.5920426,156.7258741,283.7893095,62.36692072,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.68086461,537.0102962,6.248153663,6.996220976,558.4476578,55.79967753,139.3597894,171.4221785,311.7308608,61.97058396,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.06866575,497.6919248,5.811641219,7.396569556,657.3577984,55.76210461,128.6221133,163.1580395,306.1591983,61.35966197,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.04538818,493.5526906,6.034122946,6.75568131,728.0223986,54.68448309,138.4808359,165.4313546,330.8580276,63.77019791,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.49136582,538.6100702,6.418872154,7.140656595,558.7985635,53.92936651,147.2267192,167.6138463,333.7663975,61.12715216,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.62203338,511.3381567,5.735294243,7.033278613,556.7486472,56.85611303,138.717616,166.6712417,304.9093866,62.5155854,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.21023852,564.131199,6.003171343,6.882682269,771.8025268,54.16774976,147.6133201,164.9050305,315.6513498,62.43013657,low_acidic,Spring,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.79041671,504.6066027,6.252579677,7.183844363,601.2739214,54.02450466,139.373832,159.1540654,286.7421464,61.63264523,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,24.42166373,482.5954366,5.868589906,6.698750497,672.8013337,52.49213008,150.0049472,148.2249286,346.479372,62.42504941,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.84538454,484.1278125,5.703905206,6.827680856,683.3739887,56.96321208,131.9204193,163.5035175,296.5411422,61.44345863,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.30854556,464.904562,6.181112836,6.490535917,517.8847421,55.49613837,154.4995192,150.0055025,296.8867836,62.17818426,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.89011115,476.4880522,6.275643665,7.214286186,665.0373701,55.89587993,142.1004462,152.3266986,309.157807,61.55654045,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,22.82714433,477.693853,6.038414879,6.70119532,537.0196869,55.77044886,133.4897733,143.4858383,315.7497349,61.74187338,low_acidic,Fall,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,26.61108502,477.565789,5.939232407,7.10915672,538.0693705,56.21466461,138.8578571,155.5284609,342.2573881,62.32836799,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,25.04822168,497.9805641,6.721240956,6.535701861,524.6288418,54.03239586,136.2874813,167.8639562,320.9782142,62.92458762,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.41234906,495.5125715,6.568104972,7.133974644,511.0015906,55.54557314,134.9962737,160.36899,332.8563447,63.94250005,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,21.90722155,488.1885972,6.408461804,7.909511793,503.6723544,55.00786227,145.4433943,150.8923188,338.2339814,60.48253538,low_acidic,Summer,Tomatoes
Sandy Loam,High,Short Day Period,10:10:10,23.34275968,559.9831498,6.026255393,6.479527322,519.7248341,55.94685351,135.7914131,157.0491012,323.8239837,60.98791884,low_acidic,Summer,Tomatoes
